Year,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_AS6,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.0952380952380953,0.0,-0.0243902439024389,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0344287949921752,0.001564945226917,0.1205007824726134,-0.0952380952380953,0.0,0.146341463414634,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.001564945226917,0.0391236306729264,-0.0952380952380953,0.0,0.2439024390243901,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0078247261345852,0.1205007824726134,-0.1428571428571428,0.0,0.1951219512195118,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0078247261345852,0.1205007824726134,-0.1428571428571428,0.0,0.1951219512195118,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0344287949921752,0.0078247261345852,0.1205007824726134,-0.0952380952380953,0.0,0.2439024390243901,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0078247261345852,0.1205007824726134,-0.0952380952380953,0.0,0.0487804878048778,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0344287949921752,0.0078247261345852,0.1205007824726134,0.5714285714285716,1.0,0.268292682926829,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.001564945226917,0.1205007824726134,0.5714285714285716,1.0,0.268292682926829,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0031298904538341,0.1643192488262911,-0.1428571428571428,0.0,0.1951219512195118,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0031298904538341,0.1643192488262911,-0.1428571428571428,0.0,0.1951219512195118,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0344287949921752,0.001564945226917,0.0172143974960876,-0.5714285714285715,-1.0,-0.3170731707317074,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0344287949921752,0.001564945226917,0.0172143974960876,-0.5714285714285715,-1.0,-0.3170731707317074,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0344287949921752,0.001564945226917,0.0156494522691705,-0.5714285714285715,-1.0,-0.5121951219512193,False,False,False,False,False,True,False,False,False,False,True
